emotion,f_statistic,p_value,df_between,df_within,eta_squared,significant
Interest,2571.8022087667564,0.0,2,4064,0.5586256950547139,True
Surprise,1999.1612495371735,0.0,2,4064,0.49592688701467863,True
Sadness,5213.374785008348,0.0,2,4064,0.7195452188057297,True
Anger,2430.4737024277265,0.0,2,4064,0.5446471765436899,True
