emotion,h_statistic,p_value,epsilon_squared,n_groups,total_n,significant
Interest,2350.558410449876,0.0,0.577893309657942,3,4067,True
Surprise,2312.3795122660613,0.0,0.5684988957347592,3,4067,True
Sadness,2346.9692305974118,0.0,0.5770101453241663,3,4067,True
Anger,2333.388302242397,0.0,0.5736683814572827,3,4067,True
