bootstrap_iteration,ari,n_clusters,n_models
85,0.9013363713629541,5,32
86,0.9013363713629541,5,32
87,0.6480101592993072,5,32
88,0.8091223954992761,5,32
89,0.4080182281777247,5,32
90,0.9013363713629541,5,32
91,1.0,5,32
92,0.8091223954992761,5,32
93,0.9013363713629541,5,32
94,0.9046103816633739,5,32
95,1.0,5,32
96,0.8091223954992761,5,32
97,0.9013363713629541,5,32
98,1.0,5,32
99,1.0,5,32
100,0.9013363713629541,5,32
101,0.6480101592993072,5,32
102,0.9013363713629541,5,32
103,0.9013363713629541,5,32
104,1.0,5,32
105,0.8654586882222102,5,32
106,0.8091223954992761,5,32
107,1.0,5,32
108,0.9013363713629541,5,32
109,0.9013363713629541,5,32
110,1.0,5,32
111,0.9603185891053904,5,32
112,0.9013363713629541,5,32
113,0.8091223954992761,5,32
114,0.9603185891053904,5,32
115,0.9013363713629541,5,32
116,0.9046103816633739,5,32
117,0.8215368799794397,5,32
118,0.5236965486075806,5,32
119,0.6480101592993072,5,32
120,0.8740956974235309,5,32
121,0.9013363713629541,5,32
122,0.8091223954992761,5,32
123,0.5236965486075806,5,32
124,0.8091223954992761,5,32
125,0.8654586882222102,5,32
126,0.9013363713629541,5,32
127,0.9013363713629541,5,32
128,0.9013363713629541,5,32
129,0.5236965486075806,5,32
130,0.9013363713629541,5,32
131,0.8145794392523364,5,32
132,0.9013363713629541,5,32
133,1.0,5,32
134,0.9013363713629541,5,32
135,0.8091223954992761,5,32
136,1.0,5,32
137,1.0,5,32
138,0.9013363713629541,5,32
139,1.0,5,32
140,0.9013363713629541,5,32
141,0.9046103816633739,5,32
142,0.9013363713629541,5,32
143,0.8172338191130681,5,32
144,0.9013363713629541,5,32
145,0.8043159130945391,5,32
146,0.5808844239977466,5,32
147,0.6326132613261326,5,32
148,0.41643789568043027,5,32
149,0.8145794392523364,5,32
150,0.8145794392523364,5,32
151,0.8091223954992761,5,32
152,0.40117758502201006,5,32
153,1.0,5,32
154,1.0,5,32
155,1.0,5,32
156,0.9013363713629541,5,32
157,0.7243678799666574,5,32
158,0.9046103816633739,5,32
159,0.9144517066085693,5,32
160,0.8091223954992761,5,32
161,0.47700013180440226,5,32
162,0.9013363713629541,5,32
163,0.34204174880704535,5,32
164,1.0,5,32
165,0.9013363713629541,5,32
166,0.9013363713629541,5,32
167,0.9013363713629541,5,32
168,1.0,5,32
169,0.9013363713629541,5,32
170,0.9013363713629541,5,32
171,0.5808844239977466,5,32
172,0.4411792319969956,5,32
173,0.8091223954992761,5,32
174,0.8091223954992761,5,32
175,0.9046103816633739,5,32
176,1.0,5,32
177,0.6326132613261326,5,32
178,0.4905410200384709,5,32
179,0.47700013180440226,5,32
180,0.5808844239977466,5,32
181,0.8091223954992761,5,32
182,0.9013363713629541,5,32
183,0.5236965486075806,5,32
184,0.9013363713629541,5,32
185,1.0,5,32
186,0.9013363713629541,5,32
187,0.9013363713629541,5,32
188,0.9013363713629541,5,32
189,0.9557372075175355,5,32
190,0.9013363713629541,5,32
191,0.9046103816633739,5,32
192,0.9013363713629541,5,32
193,0.8091223954992761,5,32
194,0.9013363713629541,5,32
195,0.9013363713629541,5,32
196,0.9013363713629541,5,32
197,1.0,5,32
198,0.9013363713629541,5,32
199,0.9013363713629541,5,32
200,0.9013363713629541,5,32
201,0.9013363713629541,5,32
202,0.8091223954992761,5,32
203,0.40117758502201006,5,32
204,1.0,5,32
205,0.8091223954992761,5,32
206,0.9013363713629541,5,32
207,0.5467301285102332,5,32
208,0.9013363713629541,5,32
209,0.9013363713629541,5,32
210,1.0,5,32
211,0.9013363713629541,5,32
212,0.9013363713629541,5,32
213,0.8091223954992761,5,32
214,0.8091223954992761,5,32
215,0.41643789568043027,5,32
216,0.9046103816633739,5,32
217,1.0,5,32
218,0.8091223954992761,5,32
219,0.8091223954992761,5,32
220,1.0,5,32
221,0.8091223954992761,5,32
222,0.9013363713629541,5,32
223,0.8091223954992761,5,32
224,0.9013363713629541,5,32
225,0.9013363713629541,5,32
226,0.9013363713629541,5,32
227,0.8091223954992761,5,32
228,0.9013363713629541,5,32
229,0.9013363713629541,5,32
230,0.9013363713629541,5,32
231,1.0,5,32
232,0.9144517066085693,5,32
233,0.8091223954992761,5,32
234,0.5236965486075806,5,32
235,0.8091223954992761,5,32
236,0.8091223954992761,5,32
237,0.9013363713629541,5,32
238,0.9013363713629541,5,32
239,0.40279707326109104,5,32
240,0.9013363713629541,5,32
241,0.9013363713629541,5,32
242,0.8091223954992761,5,32
243,0.6326132613261326,5,32
244,0.8091223954992761,5,32
245,0.8091223954992761,5,32
246,0.9144517066085693,5,32
247,1.0,5,32
248,0.8085500583270432,5,32
249,0.9557372075175355,5,32
250,0.9013363713629541,5,32
251,1.0,5,32
252,0.9013363713629541,5,32
253,0.9013363713629541,5,32
254,1.0,5,32
255,0.8091223954992761,5,32
256,1.0,5,32
257,0.9046103816633739,5,32
258,0.9013363713629541,5,32
259,0.9013363713629541,5,32
260,0.9046103816633739,5,32
261,1.0,5,32
262,0.9013363713629541,5,32
263,0.9046103816633739,5,32
264,0.9013363713629541,5,32
265,1.0,5,32
266,1.0,5,32
267,0.8091223954992761,5,32
268,0.5236965486075806,5,32
269,0.9013363713629541,5,32
270,0.5598436644449899,5,32
271,1.0,5,32
272,0.9013363713629541,5,32
273,0.8091223954992761,5,32
274,0.9013363713629541,5,32
275,0.9013363713629541,5,32
276,0.9013363713629541,5,32
277,0.9013363713629541,5,32
278,0.8654586882222102,5,32
279,0.41643789568043027,5,32
280,0.9013363713629541,5,32
281,0.9603185891053904,5,32
282,1.0,5,32
283,1.0,5,32
284,0.9013363713629541,5,32
285,0.9013363713629541,5,32
286,1.0,5,32
287,0.9013363713629541,5,32
288,0.5808844239977466,5,32
289,0.9013363713629541,5,32
290,0.9013363713629541,5,32
291,0.9013363713629541,5,32
292,0.9013363713629541,5,32
293,0.8091223954992761,5,32
294,0.9603185891053904,5,32
295,1.0,5,32
296,0.9013363713629541,5,32
297,0.6480101592993072,5,32
298,0.5808844239977466,5,32
299,0.9046103816633739,5,32
300,0.9013363713629541,5,32
301,1.0,5,32
302,0.9013363713629541,5,32
303,0.5808844239977466,5,32
304,0.9013363713629541,5,32
305,0.9013363713629541,5,32
306,1.0,5,32
307,0.9603185891053904,5,32
308,1.0,5,32
309,0.5808844239977466,5,32
310,0.8091223954992761,5,32
311,0.9013363713629541,5,32
312,0.9046103816633739,5,32
313,0.47700013180440226,5,32
314,0.8145794392523364,5,32
315,0.5808844239977466,5,32
316,0.30920485990214225,5,32
317,0.4000989572834393,5,32
318,0.8215368799794397,5,32
319,0.5236965486075806,5,32
320,0.8091223954992761,5,32
321,1.0,5,32
322,0.5808844239977466,5,32
323,0.5808844239977466,5,32
324,0.9013363713629541,5,32
325,0.8215368799794397,5,32
326,0.9013363713629541,5,32
327,0.41643789568043027,5,32
328,0.9013363713629541,5,32
329,0.8091223954992761,5,32
330,0.9013363713629541,5,32
331,1.0,5,32
332,0.41643789568043027,5,32
333,0.9013363713629541,5,32
334,1.0,5,32
335,1.0,5,32
336,0.9013363713629541,5,32
337,0.9013363713629541,5,32
338,0.9603185891053904,5,32
339,0.9013363713629541,5,32
340,0.9013363713629541,5,32
341,0.9013363713629541,5,32
342,0.9013363713629541,5,32
343,0.9046103816633739,5,32
344,0.9013363713629541,5,32
345,1.0,5,32
346,0.9013363713629541,5,32
347,0.9013363713629541,5,32
348,0.6655742182165779,5,32
349,0.9013363713629541,5,32
350,1.0,5,32
351,0.9013363713629541,5,32
352,0.9013363713629541,5,32
353,0.8091223954992761,5,32
354,0.9013363713629541,5,32
355,0.40117758502201006,5,32
356,0.6326132613261326,5,32
357,0.8215368799794397,5,32
358,0.4000989572834393,5,32
359,0.9013363713629541,5,32
360,0.8229488300701423,5,32
361,1.0,5,32
362,0.9013363713629541,5,32
363,0.5808844239977466,5,32
364,0.8091223954992761,5,32
365,0.8215368799794397,5,32
366,0.9013363713629541,5,32
367,0.8740956974235309,5,32
368,0.5808844239977466,5,32
369,1.0,5,32
370,0.8091223954992761,5,32
371,0.9013363713629541,5,32
372,0.47700013180440226,5,32
373,0.9013363713629541,5,32
374,0.9013363713629541,5,32
375,0.9013363713629541,5,32
376,0.9013363713629541,5,32
377,0.6480101592993072,5,32
378,0.9013363713629541,5,32
379,0.9013363713629541,5,32
380,0.9144517066085693,5,32
381,0.9013363713629541,5,32
382,0.41643789568043027,5,32
383,0.8091223954992761,5,32
384,0.9013363713629541,5,32
385,0.41643789568043027,5,32
386,0.5053759541638714,5,32
387,0.4080182281777247,5,32
388,0.8654586882222102,5,32
389,0.4000989572834393,5,32
390,0.8091223954992761,5,32
391,0.8091223954992761,5,32
392,0.9013363713629541,5,32
393,1.0,5,32
394,0.6480101592993072,5,32
395,0.9013363713629541,5,32
396,0.9013363713629541,5,32
397,0.8654586882222102,5,32
398,0.7225029284752696,5,32
399,1.0,5,32
400,0.9013363713629541,5,32
401,0.41643789568043027,5,32
402,0.4000989572834393,5,32
403,1.0,5,32
404,1.0,5,32
405,0.9013363713629541,5,32
406,1.0,5,32
407,0.9603185891053904,5,32
408,1.0,5,32
409,0.9013363713629541,5,32
410,0.8091223954992761,5,32
411,0.9013363713629541,5,32
412,0.9046103816633739,5,32
413,0.9144517066085693,5,32
414,0.40279707326109104,5,32
415,0.9046103816633739,5,32
416,1.0,5,32
417,0.9046103816633739,5,32
418,0.41643789568043027,5,32
419,1.0,5,32
420,0.9013363713629541,5,32
421,0.6480101592993072,5,32
422,0.9046103816633739,5,32
423,0.9013363713629541,5,32
424,0.4080182281777247,5,32
425,0.8145794392523364,5,32
426,0.5808844239977466,5,32
427,0.47700013180440226,5,32
428,0.9013363713629541,5,32
429,0.4411792319969956,5,32
430,0.9013363713629541,5,32
431,0.9013363713629541,5,32
432,0.6326132613261326,5,32
433,0.8091223954992761,5,32
434,0.4080182281777247,5,32
435,0.7144077713181894,5,32
436,0.9013363713629541,5,32
437,0.8091223954992761,5,32
438,0.4000989572834393,5,32
439,0.9013363713629541,5,32
440,0.9013363713629541,5,32
441,0.5236965486075806,5,32
442,1.0,5,32
443,0.9013363713629541,5,32
444,1.0,5,32
445,0.6480101592993072,5,32
446,1.0,5,32
447,0.9046103816633739,5,32
448,0.9013363713629541,5,32
449,0.9013363713629541,5,32
450,0.8215368799794397,5,32
451,0.9013363713629541,5,32
452,0.8091223954992761,5,32
453,0.7144077713181894,5,32
454,1.0,5,32
455,0.8091223954992761,5,32
456,1.0,5,32
457,0.9013363713629541,5,32
458,0.9013363713629541,5,32
459,0.9557372075175355,5,32
460,0.40279707326109104,5,32
461,0.9013363713629541,5,32
462,0.7398464954455654,5,32
463,0.9013363713629541,5,32
464,0.41643789568043027,5,32
465,0.9013363713629541,5,32
466,0.8654586882222102,5,32
467,0.9013363713629541,5,32
468,0.8091223954992761,5,32
469,0.9013363713629541,5,32
470,0.9046103816633739,5,32
471,1.0,5,32
472,0.8091223954992761,5,32
473,0.41643789568043027,5,32
474,1.0,5,32
475,0.6480101592993072,5,32
476,0.41294773928361717,5,32
477,0.4411792319969956,5,32
478,0.8091223954992761,5,32
479,0.7144077713181894,5,32
480,0.9013363713629541,5,32
481,0.8145794392523364,5,32
482,0.5808844239977466,5,32
483,1.0,5,32
484,1.0,5,32
485,0.8091223954992761,5,32
486,0.8091223954992761,5,32
487,0.5808844239977466,5,32
488,0.6480101592993072,5,32
489,1.0,5,32
490,0.9013363713629541,5,32
491,0.9013363713629541,5,32
492,0.8172338191130681,5,32
493,0.9013363713629541,5,32
494,0.9046103816633739,5,32
495,0.8215368799794397,5,32
496,0.9013363713629541,5,32
497,0.9013363713629541,5,32
498,0.9013363713629541,5,32
499,0.6692414559599889,5,32
500,0.9013363713629541,5,32
501,0.9013363713629541,5,32
502,0.9013363713629541,5,32
503,0.8091223954992761,5,32
504,0.9013363713629541,5,32
505,0.5808844239977466,5,32
506,0.9013363713629541,5,32
507,1.0,5,32
508,0.8091223954992761,5,32
509,0.4000989572834393,5,32
510,0.9013363713629541,5,32
511,0.8215368799794397,5,32
512,0.9144517066085693,5,32
513,0.5808844239977466,5,32
514,0.9013363713629541,5,32
515,1.0,5,32
516,0.9013363713629541,5,32
517,0.8085500583270432,5,32
518,0.9013363713629541,5,32
519,0.9013363713629541,5,32
520,0.9013363713629541,5,32
521,0.9013363713629541,5,32
522,0.47700013180440226,5,32
523,0.9046103816633739,5,32
524,0.8091223954992761,5,32
525,0.8091223954992761,5,32
526,1.0,5,32
527,0.8091223954992761,5,32
528,0.8215368799794397,5,32
529,0.6480101592993072,5,32
530,0.8091223954992761,5,32
531,0.4000989572834393,5,32
532,0.5808844239977466,5,32
533,0.5236965486075806,5,32
534,0.8215368799794397,5,32
535,0.9013363713629541,5,32
536,0.9013363713629541,5,32
537,0.6326132613261326,5,32
538,0.8215368799794397,5,32
539,1.0,5,32
540,0.47700013180440226,5,32
541,0.9013363713629541,5,32
542,0.9013363713629541,5,32
543,0.9013363713629541,5,32
544,1.0,5,32
545,1.0,5,32
546,0.6480101592993072,5,32
547,0.8091223954992761,5,32
548,0.8091223954992761,5,32
549,0.8091223954992761,5,32
550,0.9013363713629541,5,32
551,0.6480101592993072,5,32
552,0.47700013180440226,5,32
553,0.9013363713629541,5,32
554,0.5808844239977466,5,32
555,1.0,5,32
556,0.8172338191130681,5,32
557,0.5236965486075806,5,32
558,1.0,5,32
559,0.9013363713629541,5,32
560,1.0,5,32
561,0.8091223954992761,5,32
562,0.9013363713629541,5,32
563,0.9013363713629541,5,32
564,0.5808844239977466,5,32
565,0.8145794392523364,5,32
566,0.5236965486075806,5,32
567,0.4000989572834393,5,32
568,0.9013363713629541,5,32
569,0.8091223954992761,5,32
570,0.8091223954992761,5,32
571,1.0,5,32
572,0.9013363713629541,5,32
573,1.0,5,32
574,0.9013363713629541,5,32
575,0.9013363713629541,5,32
576,0.8091223954992761,5,32
577,1.0,5,32
578,0.9013363713629541,5,32
579,0.8091223954992761,5,32
580,0.8215368799794397,5,32
581,0.9013363713629541,5,32
582,0.9013363713629541,5,32
583,0.9013363713629541,5,32
584,0.9046103816633739,5,32
585,0.9013363713629541,5,32
586,0.9013363713629541,5,32
587,0.9046103816633739,5,32
588,0.7225029284752696,5,32
589,0.9013363713629541,5,32
590,1.0,5,32
591,0.40117758502201006,5,32
592,0.9013363713629541,5,32
593,0.9013363713629541,5,32
594,0.6480101592993072,5,32
595,0.9013363713629541,5,32
596,0.9013363713629541,5,32
597,0.4968906415895647,5,32
598,0.6480101592993072,5,32
599,0.8091223954992761,5,32
600,0.9013363713629541,5,32
601,1.0,5,32
602,0.41643789568043027,5,32
603,0.6692414559599889,5,32
604,0.9013363713629541,5,32
605,0.4000989572834393,5,32
606,0.9013363713629541,5,32
607,0.9013363713629541,5,32
608,0.5236965486075806,5,32
609,0.8091223954992761,5,32
610,0.5808844239977466,5,32
611,1.0,5,32
612,0.5808844239977466,5,32
613,0.9013363713629541,5,32
614,0.9013363713629541,5,32
615,0.9013363713629541,5,32
616,0.9013363713629541,5,32
617,0.9013363713629541,5,32
618,0.9144517066085693,5,32
619,0.5236965486075806,5,32
620,0.9013363713629541,5,32
621,0.9013363713629541,5,32
622,0.9013363713629541,5,32
623,0.9013363713629541,5,32
624,0.9046103816633739,5,32
625,0.9144517066085693,5,32
626,0.9013363713629541,5,32
627,0.9013363713629541,5,32
628,1.0,5,32
629,0.9013363713629541,5,32
630,0.8091223954992761,5,32
631,0.8091223954992761,5,32
632,0.9013363713629541,5,32
633,0.9013363713629541,5,32
634,0.9046103816633739,5,32
635,1.0,5,32
636,0.9013363713629541,5,32
637,0.9603185891053904,5,32
638,0.9013363713629541,5,32
639,0.42607921673342236,5,32
640,0.5808844239977466,5,32
641,0.5808844239977466,5,32
642,0.9144517066085693,5,32
643,0.4411792319969956,5,32
644,0.9013363713629541,5,32
645,0.8091223954992761,5,32
646,1.0,5,32
647,0.9013363713629541,5,32
648,1.0,5,32
649,0.8091223954992761,5,32
650,0.9046103816633739,5,32
651,0.9013363713629541,5,32
652,1.0,5,32
653,0.9013363713629541,5,32
654,0.5236965486075806,5,32
655,0.8091223954992761,5,32
656,0.9013363713629541,5,32
657,0.8091223954992761,5,32
658,0.9013363713629541,5,32
659,0.6326132613261326,5,32
660,0.8740956974235309,5,32
661,0.5808844239977466,5,32
662,0.8091223954992761,5,32
663,0.4000989572834393,5,32
664,0.9013363713629541,5,32
665,0.6326132613261326,5,32
666,0.5808844239977466,5,32
667,0.8091223954992761,5,32
668,1.0,5,32
669,0.9013363713629541,5,32
670,0.8091223954992761,5,32
671,0.9013363713629541,5,32
672,0.47700013180440226,5,32
673,0.8091223954992761,5,32
674,0.47700013180440226,5,32
675,0.6480101592993072,5,32
676,0.9013363713629541,5,32
677,0.9013363713629541,5,32
678,0.4000989572834393,5,32
679,1.0,5,32
680,1.0,5,32
681,0.6480101592993072,5,32
682,0.9013363713629541,5,32
683,0.8215368799794397,5,32
684,0.9013363713629541,5,32
685,0.9013363713629541,5,32
686,0.8091223954992761,5,32
687,0.8091223954992761,5,32
688,0.9013363713629541,5,32
689,0.7243678799666574,5,32
690,1.0,5,32
691,0.4411792319969956,5,32
692,0.5236965486075806,5,32
693,0.8091223954992761,5,32
694,0.8091223954992761,5,32
695,1.0,5,32
696,0.9013363713629541,5,32
697,0.8091223954992761,5,32
698,0.9013363713629541,5,32
699,0.9013363713629541,5,32
700,0.9046103816633739,5,32
701,0.9013363713629541,5,32
702,1.0,5,32
703,0.9013363713629541,5,32
704,0.9013363713629541,5,32
705,0.6480101592993072,5,32
706,0.8215368799794397,5,32
707,1.0,5,32
708,0.8654586882222102,5,32
709,0.9013363713629541,5,32
710,0.4080182281777247,5,32
711,0.9013363713629541,5,32
712,0.9603185891053904,5,32
713,0.9013363713629541,5,32
714,0.9013363713629541,5,32
715,0.9013363713629541,5,32
716,0.9013363713629541,5,32
717,1.0,5,32
718,0.9013363713629541,5,32
719,0.9013363713629541,5,32
720,0.9013363713629541,5,32
721,0.9013363713629541,5,32
722,0.9013363713629541,5,32
723,0.9013363713629541,5,32
724,0.5808844239977466,5,32
725,0.47700013180440226,5,32
726,0.9013363713629541,5,32
727,0.8215368799794397,5,32
728,0.41643789568043027,5,32
729,0.9013363713629541,5,32
730,0.9013363713629541,5,32
731,0.9013363713629541,5,32
732,0.5236965486075806,5,32
733,1.0,5,32
734,1.0,5,32
735,0.9013363713629541,5,32
736,0.9013363713629541,5,32
737,1.0,5,32
738,0.8091223954992761,5,32
739,1.0,5,32
740,0.9013363713629541,5,32
741,0.9013363713629541,5,32
742,0.5236965486075806,5,32
743,1.0,5,32
744,0.8091223954992761,5,32
745,1.0,5,32
746,0.9013363713629541,5,32
747,0.9046103816633739,5,32
748,0.9013363713629541,5,32
749,0.9046103816633739,5,32
750,0.5808844239977466,5,32
751,0.47700013180440226,5,32
752,0.8091223954992761,5,32
753,0.8091223954992761,5,32
754,0.41643789568043027,5,32
755,0.41643789568043027,5,32
756,0.8091223954992761,5,32
757,0.8091223954992761,5,32
758,1.0,5,32
759,1.0,5,32
760,0.9013363713629541,5,32
761,0.5236965486075806,5,32
762,0.9013363713629541,5,32
763,0.9046103816633739,5,32
764,0.9013363713629541,5,32
765,0.47700013180440226,5,32
766,0.9013363713629541,5,32
767,0.8091223954992761,5,32
768,1.0,5,32
769,0.9013363713629541,5,32
770,0.9013363713629541,5,32
771,0.8091223954992761,5,32
772,0.8091223954992761,5,32
773,0.9013363713629541,5,32
774,0.8091223954992761,5,32
775,1.0,5,32
776,0.5598436644449899,5,32
777,0.9013363713629541,5,32
778,0.9013363713629541,5,32
779,0.5808844239977466,5,32
780,0.9144517066085693,5,32
781,0.8215368799794397,5,32
782,0.9013363713629541,5,32
783,0.5598436644449899,5,32
784,0.9013363713629541,5,32
785,0.9013363713629541,5,32
786,0.5808844239977466,5,32
787,0.9013363713629541,5,32
788,1.0,5,32
789,0.9557372075175355,5,32
790,0.8091223954992761,5,32
791,0.8091223954992761,5,32
792,1.0,5,32
793,0.8091223954992761,5,32
794,0.9013363713629541,5,32
795,0.8085500583270432,5,32
796,1.0,5,32
797,0.9013363713629541,5,32
798,0.9046103816633739,5,32
799,0.8091223954992761,5,32
800,0.9603185891053904,5,32
801,0.5236965486075806,5,32
802,1.0,5,32
803,0.41643789568043027,5,32
804,0.9013363713629541,5,32
805,0.4080182281777247,5,32
806,0.8091223954992761,5,32
807,0.9013363713629541,5,32
808,0.8085500583270432,5,32
809,0.9013363713629541,5,32
810,0.5808844239977466,5,32
811,0.8091223954992761,5,32
812,0.5808844239977466,5,32
813,0.8091223954992761,5,32
814,0.9013363713629541,5,32
815,0.5236965486075806,5,32
816,0.4411792319969956,5,32
817,0.9013363713629541,5,32
818,0.9013363713629541,5,32
819,0.9013363713629541,5,32
820,0.9013363713629541,5,32
821,0.5236965486075806,5,32
822,0.8091223954992761,5,32
823,0.5236965486075806,5,32
824,1.0,5,32
825,0.41643789568043027,5,32
826,0.9557372075175355,5,32
827,0.9013363713629541,5,32
828,0.5236965486075806,5,32
829,0.9013363713629541,5,32
830,0.9013363713629541,5,32
831,0.9013363713629541,5,32
832,0.9557372075175355,5,32
833,1.0,5,32
834,0.9046103816633739,5,32
835,0.5808844239977466,5,32
836,1.0,5,32
837,0.4000989572834393,5,32
838,0.9013363713629541,5,32
839,0.8215368799794397,5,32
840,0.8091223954992761,5,32
841,0.41294773928361717,5,32
842,0.9013363713629541,5,32
843,0.34204174880704535,5,32
844,0.9144517066085693,5,32
845,0.9144517066085693,5,32
846,0.9013363713629541,5,32
847,0.9557372075175355,5,32
848,1.0,5,32
849,1.0,5,32
850,0.9013363713629541,5,32
851,0.8091223954992761,5,32
852,0.9013363713629541,5,32
853,0.9013363713629541,5,32
854,0.9013363713629541,5,32
855,0.9013363713629541,5,32
856,0.8215368799794397,5,32
857,0.8091223954992761,5,32
858,0.8091223954992761,5,32
859,1.0,5,32
860,0.9013363713629541,5,32
861,0.9013363713629541,5,32
862,0.9013363713629541,5,32
863,0.9013363713629541,5,32
864,0.8091223954992761,5,32
865,0.9013363713629541,5,32
866,0.9013363713629541,5,32
867,1.0,5,32
868,0.9013363713629541,5,32
869,0.8091223954992761,5,32
870,0.9013363713629541,5,32
871,1.0,5,32
872,0.8091223954992761,5,32
873,0.8145794392523364,5,32
874,0.8091223954992761,5,32
875,0.9013363713629541,5,32
876,0.9013363713629541,5,32
877,0.8215368799794397,5,32
878,0.8091223954992761,5,32
879,1.0,5,32
880,0.4411792319969956,5,32
881,0.8091223954992761,5,32
882,0.8215368799794397,5,32
883,0.8215368799794397,5,32
884,1.0,5,32
885,1.0,5,32
886,1.0,5,32
887,1.0,5,32
888,0.41643789568043027,5,32
889,0.9013363713629541,5,32
890,0.9013363713629541,5,32
891,0.9013363713629541,5,32
892,0.5236965486075806,5,32
893,0.9013363713629541,5,32
894,0.8091223954992761,5,32
895,0.9013363713629541,5,32
896,1.0,5,32
897,0.8091223954992761,5,32
898,0.9013363713629541,5,32
899,0.9013363713629541,5,32
900,0.8091223954992761,5,32
901,0.9013363713629541,5,32
902,0.9013363713629541,5,32
903,0.9013363713629541,5,32
904,1.0,5,32
905,0.7243678799666574,5,32
906,0.9013363713629541,5,32
907,0.42607921673342236,5,32
908,0.40279707326109104,5,32
909,0.8091223954992761,5,32
910,0.9013363713629541,5,32
911,0.8091223954992761,5,32
912,0.9013363713629541,5,32
913,0.9013363713629541,5,32
914,1.0,5,32
915,0.9013363713629541,5,32
916,0.5808844239977466,5,32
917,0.6480101592993072,5,32
918,0.47700013180440226,5,32
919,0.9013363713629541,5,32
920,0.9013363713629541,5,32
921,0.9013363713629541,5,32
922,0.6480101592993072,5,32
923,0.6480101592993072,5,32
924,0.9557372075175355,5,32
925,0.5808844239977466,5,32
926,0.8654586882222102,5,32
927,0.41643789568043027,5,32
928,0.9013363713629541,5,32
929,0.9013363713629541,5,32
930,0.8091223954992761,5,32
931,0.5808844239977466,5,32
932,0.9013363713629541,5,32
933,0.8091223954992761,5,32
934,0.9013363713629541,5,32
935,0.9013363713629541,5,32
936,0.5236965486075806,5,32
937,0.9013363713629541,5,32
938,0.9046103816633739,5,32
939,0.8740956974235309,5,32
940,0.9013363713629541,5,32
941,0.8091223954992761,5,32
942,0.9013363713629541,5,32
943,0.9046103816633739,5,32
944,0.8091223954992761,5,32
945,0.6326132613261326,5,32
946,0.9603185891053904,5,32
947,0.8091223954992761,5,32
948,0.9013363713629541,5,32
949,0.41643789568043027,5,32
950,1.0,5,32
951,0.9013363713629541,5,32
952,0.47700013180440226,5,32
953,0.8091223954992761,5,32
954,0.9013363713629541,5,32
955,0.9013363713629541,5,32
956,0.5236965486075806,5,32
957,0.5808844239977466,5,32
958,0.5236965486075806,5,32
959,0.8091223954992761,5,32
960,0.7144077713181894,5,32
961,1.0,5,32
962,0.9013363713629541,5,32
963,0.9046103816633739,5,32
964,0.9013363713629541,5,32
965,0.8091223954992761,5,32
966,1.0,5,32
967,1.0,5,32
968,1.0,5,32
969,0.8091223954992761,5,32
970,0.9013363713629541,5,32
971,1.0,5,32
972,0.9013363713629541,5,32
973,1.0,5,32
974,0.9557372075175355,5,32
975,0.8654586882222102,5,32
976,0.47700013180440226,5,32
