developer,model,temperature,pooled_variance,n_values
Meta,Llama-4-Scout-17B,0.9,1128.7752414398594,68
OpenAI,gpt-4.1,0.1,707.6873249299721,120
OpenAI,gpt-4.1,0.4,848.2335434173668,120
OpenAI,gpt-4.1,0.7,767.421218487395,120
OpenAI,gpt-4.1,0.9,806.6789215686274,120
OpenAI,gpt-4.1-mini,0.1,708.5084033613446,120
OpenAI,gpt-4.1-mini,0.4,671.7366946778712,120
OpenAI,gpt-4.1-mini,0.7,583.5854341736693,120
OpenAI,gpt-4.1-mini,0.9,730.2783613445379,120
OpenAI,gpt-4.1-nano,0.1,767.7713585434173,120
OpenAI,gpt-4.1-nano,0.4,778.9898459383755,120
OpenAI,gpt-4.1-nano,0.7,732.0098039215686,120
OpenAI,gpt-4.1-nano,0.9,809.2366946778714,120
OpenAI,gpt-4o,0.1,900.5973101265823,80
OpenAI,gpt-4o,0.4,739.8039215686275,120
OpenAI,gpt-4o,0.7,776.6789215686275,120
OpenAI,gpt-4o,0.9,767.8133753501402,120
OpenAI,gpt-4o-mini,0.1,808.3821202531645,80
OpenAI,gpt-4o-mini,0.4,729.2997198879553,120
OpenAI,gpt-4o-mini,0.7,700.1943277310925,120
OpenAI,gpt-4o-mini,0.9,639.5728291316527,120
xAI,grok-2-latest,0.1,606.9677871148458,120
xAI,grok-2-latest,0.4,731.5056022408966,120
xAI,grok-2-latest,0.7,732.2111344537815,120
xAI,grok-2-latest,0.9,749.1316526610645,120
xAI,grok-3-fast-latest,0.1,761.0294117647059,120
xAI,grok-3-fast-latest,0.4,860.8123249299722,120
xAI,grok-3-fast-latest,0.7,786.1327030812325,120
xAI,grok-3-fast-latest,0.9,774.3539915966387,120
xAI,grok-3-latest,0.1,750.5252100840336,120
xAI,grok-3-latest,0.4,833.3876050420168,120
xAI,grok-3-latest,0.7,823.5276610644257,120
xAI,grok-3-latest,0.9,820.5812324929973,120
xAI,grok-3-mini-fast-latest,0.1,802.6610644257702,120
xAI,grok-3-mini-fast-latest,0.4,844.7741596638656,120
xAI,grok-3-mini-fast-latest,0.7,807.5612745098041,120
xAI,grok-3-mini-fast-latest,0.9,810.5812324929974,120
xAI,grok-3-mini-latest,0.1,752.3459383753502,120
xAI,grok-3-mini-latest,0.4,797.4509803921569,120
xAI,grok-3-mini-latest,0.7,872.2408963585433,120
xAI,grok-3-mini-latest,0.9,846.4268207282914,120
