component,persona,emotion,loading,variance_explained
PC1,p1,Interest,-0.2808186490347882,0.6392186758076266
PC1,p1,Surprise,0.010476897617885728,0.6392186758076266
PC1,p1,Sadness,0.3045978350667302,0.6392186758076266
PC1,p1,Anger,0.27825035177550606,0.6392186758076266
PC1,p2,Interest,-0.2818396929150501,0.6392186758076266
PC1,p2,Surprise,0.0036002518456329236,0.6392186758076266
PC1,p2,Sadness,0.30327792285921795,0.6392186758076266
PC1,p2,Anger,0.28440472399481914,0.6392186758076266
PC1,p3,Interest,-0.28933943100518983,0.6392186758076266
PC1,p3,Surprise,3.3419953529068014e-05,0.6392186758076266
PC1,p3,Sadness,0.30140614127459825,0.6392186758076266
PC1,p3,Anger,0.2838986530740408,0.6392186758076266
PC1,p4,Interest,-0.27502198950695617,0.6392186758076266
PC1,p4,Surprise,-0.021662204835626822,0.6392186758076266
PC1,p4,Sadness,0.3002490924000884,0.6392186758076266
PC1,p4,Anger,0.277669990736299,0.6392186758076266
PC2,p1,Interest,0.14078073933350838,0.27768390197713866
PC2,p1,Surprise,0.46115835902953756,0.27768390197713866
PC2,p1,Sadness,0.004991232005786939,0.27768390197713866
PC2,p1,Anger,0.15503485573519313,0.27768390197713866
PC2,p2,Interest,0.1453423706176219,0.27768390197713866
PC2,p2,Surprise,0.46038494492338006,0.27768390197713866
PC2,p2,Sadness,-0.00827874183159616,0.27768390197713866
PC2,p2,Anger,0.12979429652050456,0.27768390197713866
PC2,p3,Interest,0.11818112179168141,0.27768390197713866
PC2,p3,Surprise,0.45943817744867477,0.27768390197713866
PC2,p3,Sadness,-0.001183180671234435,0.27768390197713866
PC2,p3,Anger,0.13629374706389447,0.27768390197713866
PC2,p4,Interest,0.1533774281817871,0.27768390197713866
PC2,p4,Surprise,0.45246530425442383,0.27768390197713866
PC2,p4,Sadness,0.00673566180910376,0.27768390197713866
PC2,p4,Anger,0.14675413191959513,0.27768390197713866
PC3,p1,Interest,0.31652102891119976,0.03775379474605123
PC3,p1,Surprise,-0.1943439747741704,0.03775379474605123
PC3,p1,Sadness,-0.06775153057316904,0.03775379474605123
PC3,p1,Anger,0.3423855644644417,0.03775379474605123
PC3,p2,Interest,0.29555072642370356,0.03775379474605123
PC3,p2,Surprise,-0.22808182322082074,0.03775379474605123
PC3,p2,Sadness,-0.08225110636121626,0.03775379474605123
PC3,p2,Anger,0.3426062712805863,0.03775379474605123
PC3,p3,Interest,0.27199267169316865,0.03775379474605123
PC3,p3,Surprise,-0.1741385851087819,0.03775379474605123
PC3,p3,Sadness,-0.05290394853298472,0.03775379474605123
PC3,p3,Anger,0.3433786685414864,0.03775379474605123
PC3,p4,Interest,0.28154258488619,0.03775379474605123
PC3,p4,Surprise,-0.19201276002003673,0.03775379474605123
PC3,p4,Sadness,-0.012735646816722485,0.03775379474605123
PC3,p4,Anger,0.36796948190394313,0.03775379474605123
